,brier_score,log_score,recall,precision,accuracy,f1score,roc_auc
0,0.0466884534670522,0.18736735871102603,0.6017151920853833,0.09280628936554865,0.692360977588373,0.16080986902136038,0.6493726367341909
1,0.04614681390357085,0.18499074338891025,0.6076027636637363,0.09495061526116566,0.6970729767244627,0.1642359370117649,0.654642145616226
2,0.04695957321789032,0.18788904759294472,0.6041616259375756,0.09521852424634028,0.6993881512580695,0.16450961158367863,0.6542274159175194
3,0.04646758845703169,0.18615920247925666,0.6120117213753797,0.09411419381777442,0.692424190544922,0.163140846483496,0.6542889522169065
4,0.046643745627458585,0.18696386416841715,0.6008280237653574,0.09463018478058365,0.6988547919371874,0.16350793250149065,0.6523660544893164
5,0.04712607217209704,0.18920198230002572,0.5937575610936365,0.09174517720951099,0.6921568524161835,0.15893267705061362,0.645491447602144
6,0.046790862906148686,0.18746981079802913,0.6057746592467135,0.09206273977863759,0.6880335239379565,0.15983458294615435,0.6490226411483914
7,0.047157852192488164,0.1884850561617474,0.6010699787617281,0.09270331456434666,0.6922859122024712,0.16063224068253254,0.6490271813489146
8,0.04704595264051395,0.18851850341805315,0.6029249670672366,0.09138919564304954,0.6869062262128327,0.1587201607937777,0.6470785058893633
9,0.046759803778860125,0.1868837366938428,0.6014732370890126,0.0962143007659128,0.703710337162107,0.1658918177436696,0.6552248694539548
